Table Name in NetSuite2.com,Field ID in NetSuite2.com,Field Name in NetSuite2.com
returnauthorizationbillingaddress,addrtext,
returnauthorizationshippingaddress,addrtext,
revenuecommitmentbillingaddress,addrtext,
revenuecommitmentreversalbillingaddress,addrtext,
revenuecommitmentreversalshippingaddress,addrtext,
revenuecommitmentshippingaddress,addrtext,
salesorderbillingaddress,addrtext,
salesorderitemshippingaddress,addrtext,
salesordershippingaddress,addrtext,
subsidiarymainaddress,addrtext,
subsidiaryreturnaddress,addrtext,
subsidiaryshippingaddress,addrtext,
transactionaddressmappingaddress,addrtext,
transactionbillingaddress,addrtext,
transactionbillingaddressbookentityaddress,addrtext,
transactionlineaddressmappinglineaddress,addrtext,
transactionpayeeaddressbookentityaddress,addrtext,
transactionreturnaddressbookentityaddress,addrtext,
transactionshippingaddress,addrtext,
transactionshippingaddressbookentityaddress,addrtext,
transferordershippingaddress,addrtext,
vendoraddressbookentityaddress,addrtext,
vendorbillbillingaddress,addrtext,
vendorcreditbillingaddress,addrtext,
vendorpaymentpayeeaddress,addrtext,
vendorprepaymentpayeeaddress,addrtext,
vendorreturnauthorizationbillingaddress,addrtext,
workplacemainaddress,addrtext,
cashrefundbillingaddress,nkey,
cashrefundbillingaddress,recordowner,
cashrefundshippingaddress,nkey,
cashrefundshippingaddress,recordowner,
cashsalebillingaddress,nkey,
cashsalebillingaddress,recordowner,
cashsaleitemshippingaddress,nkey,
cashsaleitemshippingaddress,recordowner,
cashsaleshippingaddress,nkey,
cashsaleshippingaddress,recordowner,
checkpayeeaddress,nkey,
checkpayeeaddress,recordowner,
companyaddressbookentityaddress,nkey,
companyaddressbookentityaddress,recordowner,
contactaddressbookentityaddress,nkey,
contactaddressbookentityaddress,recordowner,
creditmemobillingaddress,nkey,
creditmemobillingaddress,recordowner,
creditmemoitemshippingaddress,nkey,
creditmemoitemshippingaddress,recordowner,
creditmemoshippingaddress,nkey,
creditmemoshippingaddress,recordowner,
customeraddressbookentityaddress,nkey,
customeraddressbookentityaddress,recordowner,
customerrefundpayeeaddress,nkey,
customerrefundpayeeaddress,recordowner,
employeeaddressbookentityaddress,nkey,
employeeaddressbookentityaddress,recordowner,
entityaddress,nkey,
entityaddress,recordowner,
estimatebillingaddress,nkey,
estimatebillingaddress,recordowner,
estimateitemshippingaddress,nkey,
estimateitemshippingaddress,recordowner,
estimateshippingaddress,nkey,
estimateshippingaddress,recordowner,
intercompanytransferordershippingaddress,nkey,
intercompanytransferordershippingaddress,recordowner,
invoicebillingaddress,nkey,
invoicebillingaddress,recordowner,
invoiceitemshippingaddress,nkey,
invoiceitemshippingaddress,recordowner,
invoiceshippingaddress,nkey,
invoiceshippingaddress,recordowner,
itemfulfillmentreturnaddress,nkey,
itemfulfillmentreturnaddress,recordowner,
itemfulfillmentshippingaddress,nkey,
itemfulfillmentshippingaddress,recordowner,
jobaddressbookentityaddress,nkey,
jobaddressbookentityaddress,recordowner,
locationmainaddress,nkey,
locationmainaddress,recordowner,
locationreturnaddress,nkey,
locationreturnaddress,recordowner,
mdrtestcheckpayeeaddress,nkey,
